pattern_len,num_elts,tidlist_len,sup,pattern
1,1,968,960,<{3000}>
1,1,6482,4927,<{3005}>
1,1,3066,2494,<{3006}>
1,1,2858,2439,<{3007}>
1,1,2532,2084,<{3008}>
1,1,1616,1239,<{3011}>
1,1,6215,4751,<{3014}>
1,1,2185,1684,<{3016}>
1,1,1494,1274,<{3018}>
1,1,2337,1858,<{3019}>
1,1,637,463,<{3020}>
1,1,1547,1131,<{3021}>
1,1,4551,3335,<{3022}>
1,1,2603,2005,<{3023}>
1,1,1670,1334,<{3024}>
1,1,769,629,<{3025}>
1,1,1609,1312,<{3026}>
1,1,2630,2204,<{3027}>
1,1,1193,1050,<{3028}>
1,1,1968,1726,<{3029}>
1,1,5401,4219,<{3030}>
1,1,5708,4423,<{3031}>
1,1,2965,2357,<{3032}>
1,1,831,751,<{3033}>
1,1,3285,2483,<{3034}>
1,1,3852,3110,<{3035}>
1,1,1501,1234,<{3036}>
1,1,1537,1327,<{3037}>
1,1,3671,2893,<{3038}>
1,1,1083,847,<{3040}>
1,1,5661,4515,<{3042}>
1,1,1429,1184,<{3046}>
1,1,2391,1872,<{3047}>
1,1,3441,2482,<{3048}>
1,1,3200,2474,<{3049}>
1,1,2279,1934,<{3051}>
1,1,2293,1842,<{3052}>
1,1,995,845,<{3054}>
1,1,3340,2729,<{3055}>
1,1,1629,1162,<{3056}>
1,1,2091,1628,<{3058}>
1,1,799,542,<{3059}>
1,1,2564,2068,<{3062}>
1,1,3905,3108,<{3063}>
1,1,5196,4053,<{3064}>
1,1,1153,977,<{3065}>
1,1,1502,1203,<{3066}>
1,1,4034,3021,<{3067}>
1,1,3278,2971,<{3068}>
1,1,5569,4219,<{3069}>
1,1,2605,2142,<{3074}>
1,1,2459,1990,<{3075}>
1,1,2109,1677,<{3076}>
1,1,899,762,<{3077}>
1,1,1002,765,<{3078}>
1,1,813,648,<{3079}>
1,1,694,608,<{3081}>
1,1,4892,3615,<{3082}>
2,2,1555,1197,<{3005}->{3005}>
2,2,737,575,<{3005}->{3014}>
2,2,711,510,<{3005}->{3022}>
2,2,649,512,<{3005}->{3030}>
2,2,1280,968,<{3005}->{3031}>
2,2,878,664,<{3005}->{3034}>
2,2,605,493,<{3005}->{3035}>
2,2,556,437,<{3005}->{3038}>
2,2,785,622,<{3005}->{3042}>
2,2,536,445,<{3005}->{3055}>
2,2,540,436,<{3005}->{3062}>
2,2,630,520,<{3005}->{3063}>
