pattern_len,num_elts,tidlist_len,sup,pattern
1,1,8915,498,<{1}>
1,1,5487,498,<{2}>
1,1,5859,498,<{3}>
1,1,9599,498,<{4}>
2,2,8417,498,<{1}->{1}>
2,2,5211,498,<{1}->{2}>
2,2,5501,498,<{1}->{3}>
2,2,8994,498,<{1}->{4}>
2,2,8162,498,<{2}->{1}>
2,2,4989,498,<{2}->{2}>
2,2,5258,498,<{2}->{3}>
2,2,8777,498,<{2}->{4}>
2,2,8131,498,<{3}->{1}>
2,2,5068,498,<{3}->{2}>
2,2,5361,498,<{3}->{3}>
2,2,8842,498,<{3}->{4}>
2,2,8395,498,<{4}->{1}>
2,2,5186,498,<{4}->{2}>
2,2,5551,498,<{4}->{3}>
2,2,9101,498,<{4}->{4}>
3,3,4888,498,<{1}->{1}->{2}>
3,3,5171,498,<{1}->{1}->{3}>
3,3,8445,498,<{1}->{1}->{4}>
3,3,7671,498,<{1}->{2}->{1}>
3,3,4944,498,<{1}->{2}->{3}>
3,3,8253,498,<{1}->{2}->{4}>
3,3,7571,498,<{1}->{3}->{1}>
3,3,4720,498,<{1}->{3}->{2}>
3,3,8288,498,<{1}->{3}->{4}>
3,3,7849,498,<{1}->{4}->{1}>
3,3,4869,498,<{1}->{4}->{2}>
3,3,5226,498,<{1}->{4}->{3}>
3,3,4745,498,<{2}->{1}->{2}>
3,3,5023,498,<{2}->{1}->{3}>
3,3,8240,498,<{2}->{1}->{4}>
3,3,7299,498,<{2}->{2}->{1}>
3,3,4730,498,<{2}->{2}->{3}>
3,3,7898,498,<{2}->{2}->{4}>
3,3,7189,498,<{2}->{3}->{1}>
3,3,4494,498,<{2}->{3}->{2}>
3,3,7890,498,<{2}->{3}->{4}>
3,3,7602,498,<{2}->{4}->{1}>
3,3,4700,498,<{2}->{4}->{2}>
3,3,5049,498,<{2}->{4}->{3}>
3,3,4727,498,<{3}->{1}->{2}>
3,3,5007,498,<{3}->{1}->{3}>
3,3,8165,498,<{3}->{1}->{4}>
3,3,7425,498,<{3}->{2}->{1}>
3,3,4805,498,<{3}->{2}->{3}>
3,3,8024,498,<{3}->{2}->{4}>
3,3,7415,498,<{3}->{3}->{1}>
3,3,4620,498,<{3}->{3}->{2}>
3,3,8103,498,<{3}->{3}->{4}>
3,3,7654,498,<{3}->{4}->{1}>
3,3,4753,498,<{3}->{4}->{2}>
3,3,5089,498,<{3}->{4}->{3}>
3,3,4903,498,<{4}->{1}->{2}>
3,3,5179,498,<{4}->{1}->{3}>
3,3,8472,498,<{4}->{1}->{4}>
3,3,7614,498,<{4}->{2}->{1}>
3,3,4918,498,<{4}->{2}->{3}>
3,3,8225,498,<{4}->{2}->{4}>
3,3,7686,498,<{4}->{3}->{1}>
3,3,4792,498,<{4}->{3}->{2}>
3,3,8395,498,<{4}->{3}->{4}>
3,3,7918,498,<{4}->{4}->{1}>
3,3,4891,498,<{4}->{4}->{2}>
3,3,5242,498,<{4}->{4}->{3}>
